3810, BloodRayne (Legacy), 17, 0.000000, 0, 2006, 0, 1, 0, 0
3820, BloodRayne 2 (Legacy), 17, 0.000000, 0, 2006, 0, 1, 0, 0
3830, Psychonauts, 0, 6.880000, 0, 2006, 0, 1, 1, 0
3900, Sid Meier's Civilization® IV, 0, 11.880000, 0, 2006, 0, 1, 1, 0
3910, Sid Meier's Civilization® III Complete, 0, 3.750000, 0, 2006, 0, 1, 0, 0
4000, Garry's Mod, 0, 6.880000, 0, 2006, 0, 1, 1, 0
4100, Poker Superstars II, 0, 0.000000, 0, 2006, 0, 1, 0, 0
4230, RACE - The WTCC Game, 0, 18.620001, 0, 2006, 0, 1, 0, 0
4300, RoboBlitz, 0, 0.000000, 0, 2006, 0, 1, 0, 0
4700, Total War: MEDIEVAL II – Definitive Edition, 0, 14.750000, 0, 2006, 0, 1, 1, 0
4800, Heroes of Annihilated Empires, 0, 4.750000, 0, 2006, 0, 1, 0, 0
4900, Zen of Sudoku, 0, 0.000000, 0, 2006, 1, 1, 0, 0
6200, Ghost Master®, 0, 3.750000, 0, 2006, 0, 1, 0, 0
6210, Vegas: Make It Big™, 0, 3.750000, 0, 2006, 0, 1, 0, 0
400, Portal, 0, 5.500000, 0, 2007, 0, 1, 1, 0
420, Half-Life 2: Episode Two, 0, 4.750000, 0, 2007, 0, 1, 1, 0
440, Team Fortress 2, 0, 0.000000, 0, 2007, 1, 1, 1, 0
1700, Arx Fatalis, 0, 3.750000, 0, 2007, 0, 1, 0, 0
2200, Quake III Arena, 0, 10.750000, 0, 2007, 0, 1, 0, 0
2270, Wolfenstein 3D, 0, 3.750000, 0, 2007, 0, 1, 0, 0
2280, DOOM (1993), 0, 3.750000, 0, 2007, 0, 1, 0, 0
2300, DOOM II, 0, 3.750000, 0, 2007, 0, 1, 0, 0
2310, Quake, 17, 7.880000, 0, 2007, 0, 1, 0, 0
2320, Quake II, 17, 4.120000, 0, 2007, 0, 1, 0, 0
2360, HeXen: Beyond Heretic, 17, 3.750000, 0, 2007, 0, 1, 0, 0
